Genome1,Genome2,DDH,CI,Distance,Prob_DDH_70,styled_Genome1,styled_Genome2
KPL2825,MSK163,83.8,[81 - 86.2%],0.019,93.07,KPL2825,MSK163
KPL2825,MSK185,83.1,[80.3 - 85.6%],0.0198,92.68,KPL2825,MSK185
KPL2825,MSK194,83.7,[80.9 - 86.2%],0.0191,93.05,KPL2825,MSK194
KPL2825,P5_C4,77,[74 - 79.8%],0.0269,87.97,KPL2825,P5_C4
KPL2825,P7_C1,81,[78.1 - 83.6%],0.0222,91.32,KPL2825,P7_C1
KPL2825,P7_F1,81,[78.1 - 83.6%],0.0222,91.34,KPL2825,P7_F1
KPL2825,SB,67.1,[64.1 - 69.9%],0.0403,72.36,KPL2825,SB
KPL2825,YSMAA1_1_C6,87,[84.5 - 89.2%],0.0154,94.68,KPL2825,YSMAA1_1_C6
KPL2825,YSMAA1_2_B7,88.3,[85.8 - 90.4%],0.014,95.17,KPL2825,YSMAA1_2_B7
KPL2825,YSMAA1_2_G9,83.3,[80.5 - 85.8%],0.0196,92.8,KPL2825,YSMAA1_2_G9
KPL2825,YSMAA3_1_H1,83.2,[80.3 - 85.6%],0.0197,92.73,KPL2825,YSMAA3_1_H1
KPL2825,YSMAA5_1_D11,84,[81.2 - 86.4%],0.0188,93.19,KPL2825,YSMAA5_1_D11
KPL3649,CT01,81.2,[78.3 - 83.8%],0.0219,91.5,KPL3649,CT01
KPL3649,CTNIH2,79.7,[76.8 - 82.4%],0.0237,90.39,KPL3649,CTNIH2
KPL3649,CTNIH6,85.8,[83.1 - 88.1%],0.0167,94.11,KPL3649,CTNIH6
KPL3649,CTNIH14,81.9,[79 - 84.4%],0.0212,91.92,KPL3649,CTNIH14
KPL3649,CTNIH24,79.7,[76.8 - 82.4%],0.0237,90.39,KPL3649,CTNIH24
KPL3649,CTNIH27,85.6,[82.9 - 87.9%],0.0169,94.03,KPL3649,CTNIH27
KPL3649,EYE_346,86.1,[83.5 - 88.4%],0.0164,94.28,KPL3649,EYE_346
KPL3649,EYE_437,80.6,[77.7 - 83.3%],0.0226,91.07,KPL3649,EYE_437
KPL3649,FDAARGOS_1055,84.3,[81.5 - 86.7%],0.0184,93.37,KPL3649,FDAARGOS_1055
KPL3649,KPL2825,84.5,[81.8 - 86.9%],0.0182,93.47,KPL3649,KPL2825
KPL3649,KPL3649,100,[100 - NaN%],0,98.3,KPL3649,KPL3649
KPL3649,KPL3804,85.9,[83.3 - 88.2%],0.0166,94.19,KPL3649,KPL3804
KPL3649,KPL4035,77.3,[74.3 - 80.1%],0.0266,88.25,KPL3649,KPL4035
KPL3649,KPL4072,80.5,[77.6 - 83.2%],0.0227,91,KPL3649,KPL4072
KPL3649,LK1134,81.7,[78.9 - 84.3%],0.0213,91.83,KPL3649,LK1134
KPL3649,MSK071,99.8,[99.6 - 99.9%],5e-4,98.24,KPL3649,MSK071
KPL3649,MSK163,85.7,[83.1 - 88.1%],0.0168,94.09,KPL3649,MSK163
KPL3649,MSK185,80.9,[78 - 83.5%],0.0223,91.23,KPL3649,MSK185
KPL3649,MSK194,85.9,[83.3 - 88.2%],0.0166,94.18,KPL3649,MSK194
KPL3649,P5_C4,77.2,[74.2 - 79.9%],0.0267,88.13,KPL3649,P5_C4
KPL3649,P7_C1,80.6,[77.7 - 83.3%],0.0226,91.07,KPL3649,P7_C1
KPL3649,P7_F1,80.7,[77.8 - 83.3%],0.0226,91.08,KPL3649,P7_F1
KPL3649,SB,66.7,[63.7 - 69.5%],0.0409,71.47,KPL3649,SB
KPL3649,YSMAA1_1_C6,82.6,[79.8 - 85.1%],0.0203,92.39,KPL3649,YSMAA1_1_C6
KPL3649,YSMAA1_2_B7,84.7,[81.9 - 87.1%],0.018,93.56,KPL3649,YSMAA1_2_B7
KPL3649,YSMAA1_2_G9,80.7,[77.8 - 83.3%],0.0226,91.09,KPL3649,YSMAA1_2_G9
KPL3649,YSMAA3_1_H1,84.6,[81.8 - 87%],0.0181,93.52,KPL3649,YSMAA3_1_H1
KPL3649,YSMAA5_1_D11,85.8,[83.2 - 88.1%],0.0167,94.13,KPL3649,YSMAA5_1_D11
KPL3804,CT01,81.7,[78.8 - 84.2%],0.0214,91.79,KPL3804,CT01
KPL3804,CTNIH2,80.4,[77.5 - 83%],0.0229,90.89,KPL3804,CTNIH2
KPL3804,CTNIH6,80.8,[77.9 - 83.4%],0.0225,91.16,KPL3804,CTNIH6
KPL3804,CTNIH14,81.2,[78.3 - 83.8%],0.0219,91.49,KPL3804,CTNIH14
KPL3804,CTNIH24,80.4,[77.5 - 83%],0.0229,90.88,KPL3804,CTNIH24
KPL3804,CTNIH27,80.7,[77.8 - 83.3%],0.0225,91.13,KPL3804,CTNIH27
KPL3804,EYE_346,99.9,[99.8 - 99.9%],3e-4,98.27,KPL3804,EYE_346
KPL3804,EYE_437,80.9,[78 - 83.5%],0.0223,91.23,KPL3804,EYE_437
KPL3804,FDAARGOS_1055,83.2,[80.4 - 85.7%],0.0197,92.73,KPL3804,FDAARGOS_1055
KPL3804,KPL2825,83.8,[81 - 86.2%],0.019,93.08,KPL3804,KPL2825
KPL3804,KPL3649,85.9,[83.3 - 88.2%],0.0166,94.19,KPL3804,KPL3649
KPL3804,KPL3804,100,[100 - NaN%],0,98.3,KPL3804,KPL3804
KPL3804,KPL4035,78.6,[75.7 - 81.3%],0.025,89.45,KPL3804,KPL4035
KPL3804,KPL4072,81.4,[78.5 - 83.9%],0.0218,91.58,KPL3804,KPL4072
KPL3804,LK1134,80.7,[77.8 - 83.3%],0.0225,91.14,KPL3804,LK1134
KPL3804,MSK071,85.8,[83.1 - 88.1%],0.0168,94.11,KPL3804,MSK071
KPL3804,MSK163,99.8,[99.6 - 99.9%],5e-4,98.23,KPL3804,MSK163
KPL3804,MSK185,80,[77.1 - 82.7%],0.0233,90.6,KPL3804,MSK185
KPL3804,MSK194,99.9,[99.8 - 100%],2e-4,98.27,KPL3804,MSK194
KPL3804,P5_C4,78,[75 - 80.7%],0.0258,88.88,KPL3804,P5_C4
KPL3804,P7_C1,81.2,[78.3 - 83.8%],0.022,91.46,KPL3804,P7_C1
KPL3804,P7_F1,81.2,[78.3 - 83.8%],0.0219,91.47,KPL3804,P7_F1
KPL3804,SB,67.1,[64.1 - 70%],0.0402,72.45,KPL3804,SB
KPL3804,YSMAA1_1_C6,80.8,[77.9 - 83.4%],0.0224,91.18,KPL3804,YSMAA1_1_C6
KPL3804,YSMAA1_2_B7,86.6,[84 - 88.9%],0.0158,94.49,KPL3804,YSMAA1_2_B7
KPL3804,YSMAA1_2_G9,81.5,[78.7 - 84.1%],0.0216,91.7,KPL3804,YSMAA1_2_G9
KPL3804,YSMAA3_1_H1,95,[93.4 - 96.2%],0.0066,97.2,KPL3804,YSMAA3_1_H1
KPL3804,YSMAA5_1_D11,99.6,[99.4 - 99.8%],8e-4,98.2,KPL3804,YSMAA5_1_D11
KPL4035,CT01,75.8,[72.8 - 78.6%],0.0284,86.68,KPL4035,CT01
KPL4035,CTNIH2,84.8,[82.1 - 87.2%],0.0179,93.62,KPL4035,CTNIH2
KPL4035,CTNIH6,78.3,[75.3 - 81%],0.0254,89.17,KPL4035,CTNIH6
KPL4035,CTNIH14,77.3,[74.3 - 80%],0.0266,88.22,KPL4035,CTNIH14
KPL4035,CTNIH24,84.8,[82 - 87.2%],0.0179,93.61,KPL4035,CTNIH24
KPL4035,CTNIH27,78.3,[75.3 - 81%],0.0254,89.14,KPL4035,CTNIH27
KPL4035,EYE_346,78.8,[75.9 - 81.5%],0.0248,89.63,KPL4035,EYE_346
KPL4035,EYE_437,77.2,[74.2 - 80%],0.0267,88.16,KPL4035,EYE_437
KPL4035,FDAARGOS_1055,77.7,[74.7 - 80.4%],0.0262,88.58,KPL4035,FDAARGOS_1055
KPL4035,KPL2825,77.6,[74.6 - 80.3%],0.0263,88.5,KPL4035,KPL2825
KPL4035,KPL3649,77.3,[74.3 - 80.1%],0.0266,88.25,KPL4035,KPL3649
KPL4035,KPL3804,78.6,[75.7 - 81.3%],0.025,89.45,KPL4035,KPL3804
KPL4035,KPL4035,100,[100 - NaN%],0,98.3,KPL4035,KPL4035
KPL4035,KPL4072,82.1,[79.3 - 84.7%],0.0209,92.1,KPL4035,KPL4072
KPL4035,LK1134,76.5,[73.5 - 79.3%],0.0276,87.46,KPL4035,LK1134
KPL4035,MSK071,77.3,[74.3 - 80.1%],0.0266,88.27,KPL4035,MSK071
KPL4035,MSK163,78.9,[75.9 - 81.6%],0.0247,89.67,KPL4035,MSK163
KPL4035,MSK185,76.2,[73.2 - 78.9%],0.028,87.09,KPL4035,MSK185
KPL4035,MSK194,78.7,[75.7 - 81.4%],0.0249,89.52,KPL4035,MSK194
KPL4035,P5_C4,98,[97.1 - 98.6%],0.0031,97.85,KPL4035,P5_C4
KPL4035,P7_C1,83.9,[81.1 - 86.3%],0.0189,93.14,KPL4035,P7_C1
KPL4035,P7_F1,83.8,[81 - 86.3%],0.0189,93.1,KPL4035,P7_F1
KPL4035,SB,66.9,[64 - 69.8%],0.0405,72.05,KPL4035,SB
KPL4035,YSMAA1_1_C6,76.3,[73.3 - 79%],0.0279,87.18,KPL4035,YSMAA1_1_C6
KPL4035,YSMAA1_2_B7,78.9,[75.9 - 81.6%],0.0247,89.67,KPL4035,YSMAA1_2_B7
KPL4035,YSMAA1_2_G9,78.3,[75.3 - 81%],0.0254,89.14,KPL4035,YSMAA1_2_G9
KPL4035,YSMAA3_1_H1,79,[76.1 - 81.7%],0.0245,89.79,KPL4035,YSMAA3_1_H1
KPL4035,YSMAA5_1_D11,78.6,[75.6 - 81.2%],0.0251,89.39,KPL4035,YSMAA5_1_D11
KPL4072,CT01,79.8,[76.9 - 82.5%],0.0236,90.44,KPL4072,CT01
KPL4072,CTNIH2,84,[81.2 - 86.4%],0.0188,93.19,KPL4072,CTNIH2
KPL4072,CTNIH6,80.6,[77.7 - 83.3%],0.0226,91.07,KPL4072,CTNIH6
KPL4072,CTNIH14,79.9,[77 - 82.5%],0.0235,90.51,KPL4072,CTNIH14
KPL4072,CTNIH24,83.9,[81.1 - 86.4%],0.0188,93.16,KPL4072,CTNIH24
KPL4072,CTNIH27,80.6,[77.7 - 83.3%],0.0226,91.07,KPL4072,CTNIH27
KPL4072,EYE_346,81.6,[78.7 - 84.2%],0.0215,91.76,KPL4072,EYE_346
KPL4072,EYE_437,80.8,[77.9 - 83.5%],0.0224,91.22,KPL4072,EYE_437
KPL4072,FDAARGOS_1055,82.1,[79.2 - 84.6%],0.021,92.04,KPL4072,FDAARGOS_1055
KPL4072,KPL2825,82.4,[79.5 - 84.9%],0.0206,92.25,KPL4072,KPL2825
KPL4072,KPL3649,80.5,[77.6 - 83.2%],0.0227,91,KPL4072,KPL3649
KPL4072,KPL3804,81.4,[78.5 - 83.9%],0.0218,91.58,KPL4072,KPL3804
KPL4072,KPL4035,82.1,[79.3 - 84.7%],0.0209,92.1,KPL4072,KPL4035
KPL4072,KPL4072,100,[100 - NaN%],0,98.3,KPL4072,KPL4072
KPL4072,LK1134,79.1,[76.2 - 81.8%],0.0244,89.88,KPL4072,LK1134
KPL4072,MSK071,80.4,[77.5 - 83%],0.0229,90.9,KPL4072,MSK071
KPL4072,MSK163,81.5,[78.6 - 84%],0.0216,91.65,KPL4072,MSK163
KPL4072,MSK185,79.1,[76.1 - 81.7%],0.0245,89.83,KPL4072,MSK185
KPL4072,MSK194,81.5,[78.6 - 84%],0.0216,91.65,KPL4072,MSK194
KPL4072,P5_C4,81.3,[78.4 - 83.9%],0.0218,91.54,KPL4072,P5_C4
KPL4072,P7_C1,84.1,[81.4 - 86.6%],0.0186,93.27,KPL4072,P7_C1
KPL4072,P7_F1,84.1,[81.3 - 86.5%],0.0187,93.24,KPL4072,P7_F1
KPL4072,SB,68.2,[65.2 - 71%],0.0387,74.78,KPL4072,SB
KPL4072,YSMAA1_1_C6,81,[78.1 - 83.6%],0.0222,91.33,KPL4072,YSMAA1_1_C6
KPL4072,YSMAA1_2_B7,82.7,[79.9 - 85.2%],0.0202,92.46,KPL4072,YSMAA1_2_B7
KPL4072,YSMAA1_2_G9,79.8,[76.9 - 82.5%],0.0235,90.46,KPL4072,YSMAA1_2_G9
KPL4072,YSMAA3_1_H1,81.8,[78.9 - 84.3%],0.0213,91.84,KPL4072,YSMAA3_1_H1
KPL4072,YSMAA5_1_D11,81.3,[78.4 - 83.9%],0.0219,91.52,KPL4072,YSMAA5_1_D11
LK1134,CT01,84.2,[81.4 - 86.6%],0.0186,93.29,LK1134,CT01
LK1134,CTNIH2,78,[75 - 80.7%],0.0258,88.87,LK1134,CTNIH2
LK1134,CTNIH6,81.9,[79 - 84.4%],0.0212,91.92,LK1134,CTNIH6
LK1134,CTNIH14,85.7,[83.1 - 88%],0.0168,94.09,LK1134,CTNIH14
LK1134,CTNIH24,77.9,[75 - 80.6%],0.0258,88.84,LK1134,CTNIH24
LK1134,CTNIH27,81.9,[79 - 84.4%],0.0212,91.93,LK1134,CTNIH27
LK1134,EYE_346,80.7,[77.8 - 83.3%],0.0225,91.13,LK1134,EYE_346
LK1134,EYE_437,84.9,[82.1 - 87.2%],0.0178,93.65,LK1134,EYE_437
LK1134,FDAARGOS_1055,86.4,[83.8 - 88.7%],0.016,94.41,LK1134,FDAARGOS_1055
LK1134,KPL2825,84.9,[82.2 - 87.3%],0.0177,93.67,LK1134,KPL2825
LK1134,KPL3649,81.7,[78.9 - 84.3%],0.0213,91.83,LK1134,KPL3649
LK1134,KPL3804,80.7,[77.8 - 83.3%],0.0225,91.14,LK1134,KPL3804
LK1134,KPL4035,76.5,[73.5 - 79.3%],0.0276,87.46,LK1134,KPL4035
LK1134,KPL4072,79.1,[76.2 - 81.8%],0.0244,89.88,LK1134,KPL4072
LK1134,LK1134,100,[100 - NaN%],0,98.3,LK1134,LK1134
LK1134,MSK071,81.5,[78.6 - 84.1%],0.0216,91.69,LK1134,MSK071
LK1134,MSK163,80.7,[77.8 - 83.3%],0.0225,91.12,LK1134,MSK163
LK1134,MSK185,83.7,[80.9 - 86.1%],0.0191,93.03,LK1134,MSK185
LK1134,MSK194,80.7,[77.8 - 83.3%],0.0225,91.11,LK1134,MSK194
LK1134,P5_C4,76.1,[73.1 - 78.9%],0.0281,87,LK1134,P5_C4
LK1134,P7_C1,79.4,[76.5 - 82.1%],0.024,90.14,LK1134,P7_C1
LK1134,P7_F1,79.4,[76.5 - 82.1%],0.024,90.12,LK1134,P7_F1
LK1134,SB,67.4,[64.4 - 70.2%],0.0399,73.01,LK1134,SB
LK1134,YSMAA1_1_C6,84,[81.2 - 86.5%],0.0187,93.21,LK1134,YSMAA1_1_C6
LK1134,YSMAA1_2_B7,85,[82.2 - 87.3%],0.0177,93.71,LK1134,YSMAA1_2_B7
LK1134,YSMAA1_2_G9,82.4,[79.6 - 84.9%],0.0206,92.26,LK1134,YSMAA1_2_G9
LK1134,YSMAA3_1_H1,81.8,[78.9 - 84.4%],0.0213,91.87,LK1134,YSMAA3_1_H1
LK1134,YSMAA5_1_D11,80.4,[77.5 - 83%],0.0229,90.9,LK1134,YSMAA5_1_D11
MSK071,CT01,80.9,[78 - 83.5%],0.0223,91.26,MSK071,CT01
MSK071,CTNIH2,79.6,[76.7 - 82.3%],0.0238,90.29,MSK071,CTNIH2
MSK071,CTNIH6,85.8,[83.1 - 88.1%],0.0167,94.11,MSK071,CTNIH6
MSK071,CTNIH14,81.7,[78.9 - 84.3%],0.0213,91.83,MSK071,CTNIH14
MSK071,CTNIH24,79.6,[76.7 - 82.3%],0.0238,90.27,MSK071,CTNIH24
MSK071,CTNIH27,85.6,[82.9 - 87.9%],0.0169,94.03,MSK071,CTNIH27
MSK071,EYE_346,85.9,[83.3 - 88.2%],0.0166,94.18,MSK071,EYE_346
MSK071,EYE_437,80.6,[77.7 - 83.3%],0.0226,91.07,MSK071,EYE_437
MSK071,FDAARGOS_1055,84.3,[81.6 - 86.7%],0.0184,93.38,MSK071,FDAARGOS_1055
MSK071,KPL2825,84.5,[81.7 - 86.9%],0.0182,93.45,MSK071,KPL2825
MSK071,KPL3649,99.8,[99.6 - 99.9%],5e-4,98.24,MSK071,KPL3649
MSK071,KPL3804,85.8,[83.1 - 88.1%],0.0168,94.11,MSK071,KPL3804
MSK071,KPL4035,77.3,[74.3 - 80.1%],0.0266,88.27,MSK071,KPL4035
MSK071,KPL4072,80.4,[77.5 - 83%],0.0229,90.9,MSK071,KPL4072
MSK071,LK1134,81.5,[78.6 - 84.1%],0.0216,91.69,MSK071,LK1134
MSK071,MSK071,100,[100 - NaN%],0,98.3,MSK071,MSK071
MSK071,MSK163,85.7,[83 - 88%],0.0168,94.07,MSK071,MSK163
MSK071,MSK185,80.6,[77.7 - 83.3%],0.0226,91.07,MSK071,MSK185
MSK071,MSK194,85.8,[83.1 - 88.1%],0.0168,94.1,MSK071,MSK194
MSK071,P5_C4,77.1,[74.1 - 79.8%],0.0269,87.99,MSK071,P5_C4
MSK071,P7_C1,80.5,[77.6 - 83.1%],0.0227,90.98,MSK071,P7_C1
MSK071,P7_F1,80.5,[77.6 - 83.1%],0.0228,90.96,MSK071,P7_F1
MSK071,SB,66.7,[63.7 - 69.5%],0.0409,71.42,MSK071,SB
MSK071,YSMAA1_1_C6,82.5,[79.7 - 85%],0.0204,92.34,MSK071,YSMAA1_1_C6
MSK071,YSMAA1_2_B7,84.7,[82 - 87.1%],0.018,93.57,MSK071,YSMAA1_2_B7
MSK071,YSMAA1_2_G9,80.4,[77.5 - 83.1%],0.0228,90.92,MSK071,YSMAA1_2_G9
MSK071,YSMAA3_1_H1,84.3,[81.6 - 86.7%],0.0184,93.37,MSK071,YSMAA3_1_H1
MSK071,YSMAA5_1_D11,85.7,[83.1 - 88.1%],0.0168,94.09,MSK071,YSMAA5_1_D11
MSK163,CT01,81.6,[78.7 - 84.1%],0.0215,91.73,MSK163,CT01
MSK163,CTNIH2,80.5,[77.6 - 83.1%],0.0228,90.96,MSK163,CTNIH2
MSK163,CTNIH6,80.6,[77.7 - 83.2%],0.0226,91.06,MSK163,CTNIH6
MSK163,CTNIH14,81.2,[78.3 - 83.8%],0.0219,91.47,MSK163,CTNIH14
MSK163,CTNIH24,80.5,[77.6 - 83.1%],0.0228,90.94,MSK163,CTNIH24
MSK163,CTNIH27,80.6,[77.7 - 83.2%],0.0227,91.01,MSK163,CTNIH27
MSK163,EYE_346,99.9,[99.7 - 99.9%],3e-4,98.25,MSK163,EYE_346
MSK163,EYE_437,80.9,[77.9 - 83.5%],0.0224,91.22,MSK163,EYE_437
MSK163,FDAARGOS_1055,83.2,[80.3 - 85.6%],0.0197,92.72,MSK163,FDAARGOS_1055
MSK163,KPL2825,83.8,[81 - 86.2%],0.019,93.07,MSK163,KPL2825
MSK163,KPL3649,85.7,[83.1 - 88.1%],0.0168,94.09,MSK163,KPL3649
MSK163,KPL3804,99.8,[99.6 - 99.9%],5e-4,98.23,MSK163,KPL3804
MSK163,KPL4035,78.9,[75.9 - 81.6%],0.0247,89.67,MSK163,KPL4035
MSK163,KPL4072,81.5,[78.6 - 84%],0.0216,91.65,MSK163,KPL4072
MSK163,LK1134,80.7,[77.8 - 83.3%],0.0225,91.12,MSK163,LK1134
MSK163,MSK071,85.7,[83 - 88%],0.0168,94.07,MSK163,MSK071
MSK163,MSK163,100,[100 - NaN%],0,98.3,MSK163,MSK163
MSK163,MSK185,80,[77 - 82.6%],0.0234,90.57,MSK163,MSK185
MSK163,MSK194,99.8,[99.6 - 99.9%],5e-4,98.23,MSK163,MSK194
MSK163,P5_C4,77.8,[74.8 - 80.5%],0.026,88.73,MSK163,P5_C4
MSK163,P7_C1,81.2,[78.3 - 83.8%],0.0219,91.48,MSK163,P7_C1
MSK163,P7_F1,81.2,[78.3 - 83.8%],0.0219,91.49,MSK163,P7_F1
MSK163,SB,67.1,[64.2 - 70%],0.0402,72.49,MSK163,SB
MSK163,YSMAA1_1_C6,80.6,[77.7 - 83.3%],0.0226,91.07,MSK163,YSMAA1_1_C6
MSK163,YSMAA1_2_B7,86.7,[84 - 88.9%],0.0158,94.51,MSK163,YSMAA1_2_B7
MSK163,YSMAA1_2_G9,81.4,[78.5 - 84%],0.0217,91.6,MSK163,YSMAA1_2_G9
MSK163,YSMAA3_1_H1,94.8,[93.1 - 96%],0.0069,97.15,MSK163,YSMAA3_1_H1
MSK163,YSMAA5_1_D11,99.6,[99.3 - 99.8%],8e-4,98.19,MSK163,YSMAA5_1_D11
MSK185,CT01,81.7,[78.8 - 84.3%],0.0214,91.81,MSK185,CT01
MSK185,CTNIH2,78.2,[75.3 - 80.9%],0.0255,89.11,MSK185,CTNIH2
MSK185,CTNIH6,81.6,[78.7 - 84.2%],0.0215,91.76,MSK185,CTNIH6
MSK185,CTNIH14,82.2,[79.4 - 84.7%],0.0208,92.14,MSK185,CTNIH14
MSK185,CTNIH24,78.2,[75.2 - 80.9%],0.0255,89.08,MSK185,CTNIH24
MSK185,CTNIH27,81.6,[78.7 - 84.2%],0.0215,91.74,MSK185,CTNIH27
MSK185,EYE_346,80,[77.1 - 82.7%],0.0233,90.61,MSK185,EYE_346
MSK185,EYE_437,81.4,[78.5 - 84%],0.0217,91.6,MSK185,EYE_437
MSK185,FDAARGOS_1055,83.6,[80.8 - 86.1%],0.0192,92.98,MSK185,FDAARGOS_1055
MSK185,KPL2825,83.1,[80.3 - 85.6%],0.0198,92.68,MSK185,KPL2825
MSK185,KPL3649,80.9,[78 - 83.5%],0.0223,91.23,MSK185,KPL3649
MSK185,KPL3804,80,[77.1 - 82.7%],0.0233,90.6,MSK185,KPL3804
MSK185,KPL4035,76.2,[73.2 - 78.9%],0.028,87.09,MSK185,KPL4035
MSK185,KPL4072,79.1,[76.1 - 81.7%],0.0245,89.83,MSK185,KPL4072
MSK185,LK1134,83.7,[80.9 - 86.1%],0.0191,93.03,MSK185,LK1134
MSK185,MSK071,80.6,[77.7 - 83.3%],0.0226,91.07,MSK185,MSK071
MSK185,MSK163,80,[77 - 82.6%],0.0234,90.57,MSK185,MSK163
MSK185,MSK185,100,[100 - NaN%],0,98.3,MSK185,MSK185
MSK185,MSK194,80,[77.1 - 82.7%],0.0233,90.6,MSK185,MSK194
MSK185,P5_C4,75.9,[72.9 - 78.6%],0.0284,86.74,MSK185,P5_C4
MSK185,P7_C1,79.2,[76.3 - 81.9%],0.0243,89.97,MSK185,P7_C1
MSK185,P7_F1,79.3,[76.3 - 81.9%],0.0242,90,MSK185,P7_F1
MSK185,SB,67.1,[64.1 - 69.9%],0.0403,72.36,MSK185,SB
MSK185,YSMAA1_1_C6,83.8,[81 - 86.3%],0.0189,93.11,MSK185,YSMAA1_1_C6
MSK185,YSMAA1_2_B7,82.9,[80.1 - 85.4%],0.02,92.58,MSK185,YSMAA1_2_B7
MSK185,YSMAA1_2_G9,82.5,[79.6 - 85%],0.0205,92.32,MSK185,YSMAA1_2_G9
MSK185,YSMAA3_1_H1,81.1,[78.2 - 83.7%],0.0221,91.4,MSK185,YSMAA3_1_H1
MSK185,YSMAA5_1_D11,79.7,[76.8 - 82.4%],0.0237,90.36,MSK185,YSMAA5_1_D11
MSK194,CT01,81.7,[78.8 - 84.3%],0.0213,91.82,MSK194,CT01
MSK194,CTNIH2,80.4,[77.5 - 83%],0.0229,90.88,MSK194,CTNIH2
MSK194,CTNIH6,80.9,[78 - 83.5%],0.0223,91.24,MSK194,CTNIH6
MSK194,CTNIH14,81.2,[78.3 - 83.8%],0.0219,91.47,MSK194,CTNIH14
MSK194,CTNIH24,80.4,[77.4 - 83%],0.0229,90.86,MSK194,CTNIH24
MSK194,CTNIH27,80.8,[77.9 - 83.4%],0.0224,91.21,MSK194,CTNIH27
MSK194,EYE_346,99.9,[99.8 - 99.9%],3e-4,98.27,MSK194,EYE_346
MSK194,EYE_437,80.9,[78 - 83.5%],0.0223,91.23,MSK194,EYE_437
MSK194,FDAARGOS_1055,83.2,[80.3 - 85.6%],0.0197,92.73,MSK194,FDAARGOS_1055
MSK194,KPL2825,83.7,[80.9 - 86.2%],0.0191,93.05,MSK194,KPL2825
MSK194,KPL3649,85.9,[83.3 - 88.2%],0.0166,94.18,MSK194,KPL3649
MSK194,KPL3804,99.9,[99.8 - 100%],2e-4,98.27,MSK194,KPL3804
MSK194,KPL4035,78.7,[75.7 - 81.4%],0.0249,89.52,MSK194,KPL4035
MSK194,KPL4072,81.5,[78.6 - 84%],0.0216,91.65,MSK194,KPL4072
MSK194,LK1134,80.7,[77.8 - 83.3%],0.0225,91.11,MSK194,LK1134
MSK194,MSK071,85.8,[83.1 - 88.1%],0.0168,94.1,MSK194,MSK071
MSK194,MSK163,99.8,[99.6 - 99.9%],5e-4,98.23,MSK194,MSK163
MSK194,MSK185,80,[77.1 - 82.7%],0.0233,90.6,MSK194,MSK185
MSK194,MSK194,100,[100 - NaN%],0,98.3,MSK194,MSK194
MSK194,P5_C4,78.1,[75.1 - 80.8%],0.0256,88.98,MSK194,P5_C4
MSK194,P7_C1,81.3,[78.4 - 83.8%],0.0219,91.51,MSK194,P7_C1
MSK194,P7_F1,81.3,[78.4 - 83.9%],0.0218,91.53,MSK194,P7_F1
MSK194,SB,67.1,[64.1 - 69.9%],0.0403,72.34,MSK194,SB
MSK194,YSMAA1_1_C6,80.7,[77.8 - 83.4%],0.0225,91.14,MSK194,YSMAA1_1_C6
MSK194,YSMAA1_2_B7,86.6,[84 - 88.8%],0.0159,94.48,MSK194,YSMAA1_2_B7
MSK194,YSMAA1_2_G9,81.4,[78.5 - 84%],0.0217,91.61,MSK194,YSMAA1_2_G9
MSK194,YSMAA3_1_H1,95.1,[93.5 - 96.3%],0.0065,97.22,MSK194,YSMAA3_1_H1
MSK194,YSMAA5_1_D11,99.6,[99.4 - 99.8%],8e-4,98.2,MSK194,YSMAA5_1_D11
P5_C4,CT01,75.5,[72.5 - 78.2%],0.0289,86.28,P5_C4,CT01
P5_C4,CTNIH2,84.8,[82.1 - 87.2%],0.0178,93.65,P5_C4,CTNIH2
P5_C4,CTNIH6,77.7,[74.7 - 80.4%],0.0261,88.64,P5_C4,CTNIH6
P5_C4,CTNIH14,76.9,[73.9 - 79.6%],0.0271,87.84,P5_C4,CTNIH14
P5_C4,CTNIH24,84.8,[82.1 - 87.2%],0.0178,93.63,P5_C4,CTNIH24
P5_C4,CTNIH27,77.6,[74.6 - 80.3%],0.0263,88.5,P5_C4,CTNIH27
P5_C4,EYE_346,78.3,[75.4 - 81%],0.0253,89.2,P5_C4,EYE_346
P5_C4,EYE_437,76.7,[73.7 - 79.5%],0.0273,87.65,P5_C4,EYE_437
P5_C4,FDAARGOS_1055,77,[74 - 79.8%],0.0269,87.96,P5_C4,FDAARGOS_1055
P5_C4,KPL2825,77,[74 - 79.8%],0.0269,87.97,P5_C4,KPL2825
P5_C4,KPL3649,77.2,[74.2 - 79.9%],0.0267,88.13,P5_C4,KPL3649
P5_C4,KPL3804,78,[75 - 80.7%],0.0258,88.88,P5_C4,KPL3804
P5_C4,KPL4035,98,[97.1 - 98.6%],0.0031,97.85,P5_C4,KPL4035
P5_C4,KPL4072,81.3,[78.4 - 83.9%],0.0218,91.54,P5_C4,KPL4072
P5_C4,LK1134,76.1,[73.1 - 78.9%],0.0281,87,P5_C4,LK1134
P5_C4,MSK071,77.1,[74.1 - 79.8%],0.0269,87.99,P5_C4,MSK071
P5_C4,MSK163,77.8,[74.8 - 80.5%],0.026,88.73,P5_C4,MSK163
P5_C4,MSK185,75.9,[72.9 - 78.6%],0.0284,86.74,P5_C4,MSK185
P5_C4,MSK194,78.1,[75.1 - 80.8%],0.0256,88.98,P5_C4,MSK194
P5_C4,P5_C4,100,[100 - NaN%],0,98.3,P5_C4,P5_C4
